id,sentiment
"6648_7",1
"8511_10",1
"10432_4",1
"2331_9",1
"12008_1",0
"10242_8",1
"9240_2",1
"971_3",1
"5766_7",1
"7783_1",1
"2128_8",1
"5409_1",1
"8903_3",1
"11651_10",1
"2186_3",1
"9742_2",1
"8751_4",1
"9854_7",1
"5090_10",1
"6985_2",1
"7299_8",1
"9787_1",1
"10672_7",1
"6050_10",1
"10263_7",1
"5885_10",1
"7680_10",1
"8458_8",1
"869_7",1
"11431_1",1
"5087_8",1
"9059_3",1
"9835_4",1
"3492_3",1
"9098_10",1
"4182_10",1
"8597_9",1
"6864_7",1
"3138_9",1
"6907_8",1
"7806_8",1
"273_1",1
"230_1",1
"5182_10",1
"3589_4",1
"7146_10",1
"8104_8",1
"7211_1",1
"8857_10",1
"2960_4",1
"3815_1",1
"8421_10",1
"11469_10",1
"5899_10",1
"4521_7",1
"11813_8",1
"358_9",1
"2143_4",1
"9871_7",1
"11140_4",1
"4514_10",1
"2923_10",1
"11521_10",1
"10274_8",1
"36_8",1
"11699_10",1
"2028_8",1
"1181_9",1
"803_10",1
"10055_1",1
"9248_3",1
"1785_9",1
"2944_1",1
"11942_1",0
"1402_8",1
"526_10",1
"7481_8",1
"5708_8",1
"1643_10",1
"4044_1",1
"1859_10",1
"3582_8",1
"2727_9",1
"1372_4",1
"7_7",1
"9662_10",1
"1162_10",1
"631_10",1
"8888_7",1
"8220_1",1
"10624_1",1
"5731_4",1
"11802_1",1
"9380_9",1
"5248_8",1
"10821_1",1
"6651_1",1
"11421_10",1
"9261_7",1
"2761_10",1
"6163_2",1
"4380_9",1
"6822_8",1
"7192_8",1
"1177_8",1
"6458_3",1
"3804_2",1
"9040_9",1
"4675_8",1
"326_1",1
"8305_3",1
"11431_7",1
"11120_4",1
"12290_2",1
"4108_2",0
"2060_10",1
"11729_10",1
"154_8",1
"961_9",1
"2067_9",1
"9792_3",1
"7812_1",1
"7501_2",1
"4280_9",1
"3102_9",1
"3257_8",1
"11125_7",1
"2617_10",1
"5313_7",1
"1821_8",1
"3344_7",1
"9824_10",1
"4905_3",1
"3992_8",1
"8332_10",1
"5370_2",1
"4977_9",1
"5793_1",1
"8433_4",1
"9964_10",1
"11394_10",1
"8083_1",1
"2957_8",1
"1335_4",1
"1222_2",1
"3008_3",1
"9264_10",1
"5941_1",1
"1684_8",1
"7080_4",1
"9057_7",1
"4215_9",1
"344_4",1
"10339_4",1
"8259_1",1
"7539_2",1
"10011_3",1
"6240_10",1
"10248_1",1
"9559_8",1
"4721_1",1
"2928_10",1
"9777_1",1
"464_2",1
"2060_8",1
"7167_8",1
"12352_8",1
"10486_10",1
"4934_2",1
"2731_10",1
"7174_2",1
"9689_9",1
"1334_3",1
"7606_2",1
"8553_2",1
"6697_4",1
"6121_2",1
"1832_7",1
"5577_8",1
"9529_2",1
"6599_7",1
"6083_8",1
"9065_10",1
"1043_9",1
"3291_8",1
"1401_7",1
"3567_1",1
"4411_4",1
"7516_7",1
"1796_8",1
"9800_1",1
"10796_4",1
"11688_3",1
"4801_4",1
"9936_1",1
"10495_2",1
"8094_2",1
"2399_3",1
