id,sentiment,sentiment_new
"4467_4",1,1
"5985_9",1,1
"2017_1",1,1
"11269_1",1,0
"8355_1",1,1
"128_10",1,1
"8166_10",1,1
"10442_8",1,1
"463_1",1,0
"4193_7",1,1
"8149_10",1,1
"1493_4",1,1
"1627_10",1,1
"83_10",1,1
"2629_10",1,1
"171_2",1,1
"12082_10",1,1
"3563_8",1,1
"8048_1",1,1
"4784_1",1,0
"10167_9",1,1
"10862_9",1,1
"8537_9",1,1
"877_1",1,1
"10640_7",1,1
"3745_10",1,1
"3876_1",1,1
"129_1",1,0
"6063_3",1,1
"3677_9",1,1
"1622_9",1,1
"348_7",1,1
"12217_9",1,1
"11520_7",1,1
"1972_4",1,1
"11133_10",1,1
"6777_10",1,1
"7142_4",1,0
"5822_1",1,0
"10326_10",1,1
"8126_7",1,1
"9609_7",1,1
"1048_4",1,1
"3092_3",1,1
"2977_10",1,1
"5514_3",1,0
"11211_1",1,1
"10462_3",1,1
"10511_1",1,1
"11393_3",1,1
"8254_8",1,1
"2794_9",1,1
"8994_10",1,1
"72_4",1,0
"4545_2",1,0
"8127_10",1,1
"7440_1",1,1
"6999_10",1,1
"5822_10",1,1
"11018_4",1,1
"7337_10",1,1
"4517_4",1,1
"3792_8",1,1
"3084_10",1,1
"8863_10",1,1
"2956_7",1,1
"11691_7",1,1
"9248_1",1,1
"10706_2",1,1
"11985_8",1,1
"4138_8",1,1
"4636_3",1,1
"9175_8",1,1
"9974_3",1,1
"3810_7",1,1
"3586_4",1,1
"4860_1",1,1
"7776_1",1,1
"857_1",1,0
"4694_4",1,0
"5606_7",1,1
"9679_1",1,0
"2520_9",1,1
"5283_10",1,1
"8064_8",1,1
"9127_2",1,1
"3659_4",1,1
"385_1",1,0
"7792_10",1,1
"3683_1",1,0
"9394_8",1,1
"4709_1",1,0
"7610_10",1,1
"8214_7",1,1
"9715_2",1,1
"3285_1",1,1
"7784_10",1,1
"3389_10",1,1
"9244_9",1,1
"10701_2",1,0
"6351_7",1,1
"12012_10",1,1
"12318_1",1,0
"7657_2",1,1
"3776_10",1,1
"7428_1",1,1
"6241_3",1,1
"11693_3",1,1
"7637_4",1,1
"7577_10",1,1
"10393_9",1,1
"9587_7",1,1
"5648_9",1,1
"12469_1",1,0
"7461_3",1,0
"947_3",1,1
"4202_9",1,1
"2441_4",1,1
"9720_2",1,1
"7409_3",1,0
"5571_10",1,1
"7077_4",1,1
"5118_10",1,1
"6314_3",1,1
"4378_4",1,1
"7282_3",1,1
"251_2",1,1
"6686_10",1,1
"6019_1",1,1
"2508_1",1,0
"1461_3",1,1
"4272_9",1,1
"6526_1",1,0
"8615_10",1,1
"551_9",1,1
"7041_10",1,1
"11821_2",1,1
"3770_4",1,1
"1609_10",1,1
"10628_1",1,0
"11185_10",1,1
"11760_1",1,1
"11942_8",1,1
"6465_8",1,1
"2627_4",1,1
"2886_7",1,1
"4508_3",1,1
"10502_1",1,1
"3492_3",1,1
"11606_8",1,1
"6998_7",1,1
"2964_7",1,1
"6948_9",1,1
"10639_10",1,1
"9915_2",1,0
"7966_3",1,0
"4253_9",1,1
"1515_7",1,1
"3993_9",1,1
"1729_10",1,1
"2345_8",1,1
"10225_10",1,1
"4000_4",1,0
"1901_10",1,1
"7828_10",1,1
"11649_9",1,1
"8805_2",1,0
"7301_7",1,1
"10279_4",1,1
"221_9",1,1
"8518_7",1,1
"4974_1",1,0
"297_2",1,1
"10674_2",1,1
"642_2",1,0
"5123_4",1,1
"5801_9",1,1
"2595_7",1,1
"12301_4",1,1
"2159_1",1,1
"3627_8",1,0
"1244_1",1,1
"563_4",1,1
"10758_10",1,1
"406_7",1,1
"3080_1",1,1
"11946_7",1,1
"5957_1",1,1
"6853_8",1,1
"765_9",1,1
"9047_7",1,1
"9966_10",1,1
"6253_1",1,1
"9324_4",1,1
"3428_7",1,1
"10865_2",1,1
"5558_2",1,1
"6566_7",1,1
"5930_3",1,1
"10792_1",1,1
"10460_10",1,1
"4713_1",1,0
"319_1",1,1
"5248_1",1,1
"9042_1",1,0
"2687_9",1,1
"3335_9",1,1
"1879_7",1,1
"7283_9",1,1
"4162_8",1,1
"11088_4",1,1
"10103_1",1,0
"8731_4",1,1
"2689_9",1,1
"5179_4",1,1
"12451_3",1,1
"1097_9",1,1
"12343_7",1,1
"5549_10",1,1
"4234_1",1,1
"1127_10",1,1
"6571_10",1,1
"4471_4",1,1
"7669_9",1,1
"10354_7",1,1
"4606_1",1,1
"7380_10",1,1
"6358_10",1,1
"10900_1",1,1
"4511_7",1,1
"5373_7",1,1
"2813_10",1,1
"3270_8",1,1
"4657_3",1,0
"7071_1",1,0
"5667_1",1,1
"2415_7",1,1
"8640_2",1,0
"4440_1",1,1
"6116_2",1,1
"8590_1",1,1
"4406_9",1,1
"243_9",1,1
